mp_id k_lattice
mp-772833 11.352178
mp-772823 8.860461
mp-753917 16.604819
mp-752554 7.075752
mp-771260 5.481438
mp-1101177 10.608831
mp-768873 12.514076
mp-768814 16.164916
mp-561441 13.451948
mp-676315 4.159311
mp-769466 30.507658
mp-769346 9.839120
mp-13546 11.602838
mp-1095185 27.668041
mp-1362204 13.856476
mp-1361477 11.517674
mp-27678 10.000742
mp-1104125 4.723042
mp-1206803 13.820829
mp-35785 8.631961
mp-558658 33.364959
mp-546864 45.096051
mp-753691 4.178733
mp-1205567 5.700174
mp-6655 40.472923
mp-5905 22.838029
mp-541040 23.254357
mp-1198660 8.598268
mp-757001 12.193626
mp-766258 10.867522
mp-765476 10.929052
mp-1216324 7.349382
mp-1216336 6.487128
mp-766009 9.687359
mp-758379 8.653804
mp-1199133 2.986230
mp-685633 6.554458
mp-1207692 9.087260
mp-31062 20.734119
mp-1020671 2.237232
mp-561108 1.670089
mp-560995 1943888.076089
mp-673310 12.711887
mp-625718 20.025091
mp-625677 26.478675
mp-24076 30.272536
mp-1216225 3.843844
mp-1216202 5.834710
mp-1216184 11.834578
mp-1207720 5.043123
mp-754107 6.206249
mp-860892 1.734912
mp-768887 33.044852
mp-754903 28.194071
mp-570857 3.576243
mp-35906 2.768594
mp-1191299 2.451812
mp-23568 7.208443
mp-27782 2.219258
mp-23185 72227056.318257
mp-561153 3.638040
mp-22885 6.766838
mp-556244 0.715413
mp-1187777 1.319326
mp-573078 2.846659
mp-1216174 44.399877
mp-1028772 6.781714
mp-1028764 12.338917
mp-1028663 12.175993
mp-1028488 11.360408
mp-1023929 17.504325
mp-1025572 2.103959
mp-1023936 10.387631
mp-979414 0.845774
mp-756473 12.305220
mp-27475 4.488483
mp-2017401 2.883693
mp-1205307 1.533954
mp-2017348 0.122108
mp-1201710 3.732155
mp-1028441 1.279903
mp-1023937 19.394833
mp-1023925 15.120037
mp-761107 0.306021
mp-760185 0.326970
mp-760144 0.140800
mp-759818 6.810750
mp-753852 0.210831
mp-752955 3.215172
mp-826026 8.452352
mp-825726 7.898132
mp-756478 10.658953
mp-715923 16.763551
mp-733506 16.961783
mp-690346 8.653018
mp-619461 8.545049
mp-566278 8.689015
mp-553964 345109432.494356
mp-545665 13.891265
mp-510417 6.367037
mp-32777 9.425901
mp-32662 10.420648
mp-2928451 8.569439
mp-2526683 57.149132
mp-2486616 10.885308
mp-2383161 7.591925
mp-2383052 22.477717
mp-2285488 12.170844
mp-2235359 12.361803
mp-19342 7.961770
mp-19033 8.888850
mp-1408708 7.123178
mp-1396391 11.947621
mp-1197857 8.401645
mp-1172828 7.447378
mp-753526 12.924548
mp-1188654 4.699953
mp-754628 4.670808
mp-2679804 10.567897
mp-836221 3.418047
mp-2675163 6.822351
mp-1101173 1.425056
mp-1077232 19.598510
mp-1207889 1.348013
mp-23178 6.666135
mp-980949 3.944372
mp-23269 2.100460
mp-1207828 1.636284
mp-29498 1.461986
mp-760157 1.536527
mp-30295 1.931064
mp-1025584 12.642198
mp-1025577 6.440216
mp-1025599 13.309277
mp-1025588 13.097960
mp-1028558 4.021205
mp-1028487 2.053510
